district;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
District - Indre By;326988;345261;351173;362277;380598;398474;409033;422123;431152;457727
District - Østerbro;306248;309680;318321;325432;332546;345110;354481;363637;376002;392504
District - Nørrebro;232740;236408;240723;245021;251550;259959;266450;273494;281437;292139
District - Vesterbro/Kongens Enghave;267431;272759;281126;286305;295440;304436;312523;323748;337283;350601
District - Valby;274896;278852;284216;287020;292458;300856;304855;311108;320160;331929
District - Vanløse;293708;295705;300431;305731;311522;317798;324674;331604;338810;350027
District - Brønshøj-Husum;271928;273005;275327;276811;280092;286948;289695;294980;302424;316011
District - Bispebjerg;238836;239324;242155;243307;245594;250195;254924;259870;269397;278527
District - Amager Øst;266307;268810;272160;277235;282704;292197;300632;310647;317458;331012
District - Amager Vest;278647;284639;292966;300816;305974;319893;325371;331057;340601;346303
